tag,text
p,"The least squares solution is computed using the singular value
decomposition of \(X\) . If \(X\) is a matrix of shape (n_samples, n_features) this method has a cost of \(O(n_{\text{samples}} n_{\text{features}}^2)\) , assuming that \(n_{\text{samples}} \geq n_{\text{features}}\) ."
p,"Ridge regression addresses some of the problems of Ordinary Least Squares by imposing a penalty on the size of the
coefficients. The ridge coefficients minimize a penalized residual sum
of squares:"
p,"The complexity parameter \(\alpha \geq 0\) controls the amount
of shrinkage: the larger the value of \(\alpha\) , the greater the amount
of shrinkage and thus the coefficients become more robust to collinearity."
p,"As with other linear models, Ridge will take in its fit method
arrays X , y and will store the coefficients \(w\) of the linear model in
its coef_ member:"
p,"Note that the class Ridge allows for the user to specify that the
solver be automatically chosen by setting solver=""auto"" . When this option
is specified, Ridge will choose between the ""lbfgs"" , ""cholesky"" ,
and ""sparse_cg"" solvers. Ridge will begin checking the conditions
shown in the following table from top to bottom. If the condition is true,
the corresponding solver is chosen."
p,Solver
p,Condition
p,‘lbfgs’
p,The positive=True option is specified.
p,‘cholesky’
p,The input array X is not sparse.
p,‘sparse_cg’
p,None of the above conditions are fulfilled.
p,Plot Ridge coefficients as a function of the regularization
p,Common pitfalls in the interpretation of coefficients of linear models
p,Ridge coefficients as a function of the L2 Regularization
p,"The Ridge regressor has a classifier variant: RidgeClassifier . This classifier first converts binary targets to {-1, 1} and then treats the problem as a regression task, optimizing the
same objective as above. The predicted class corresponds to the sign of the
regressor’s prediction. For multiclass classification, the problem is
treated as multi-output regression, and the predicted class corresponds to
the output with the highest value."
p,"It might seem questionable to use a (penalized) Least Squares loss to fit a
classification model instead of the more traditional logistic or hinge
losses. However, in practice, all those models can lead to similar
cross-validation scores in terms of accuracy or precision/recall, while the
penalized least squares loss used by the RidgeClassifier allows for
a very different choice of the numerical solvers with distinct computational
performance profiles."
p,"The RidgeClassifier can be significantly faster than e.g. LogisticRegression with a high number of classes because it can
compute the projection matrix \((X^T X)^{-1} X^T\) only once."
p,"This classifier is sometimes referred to as a Least Squares Support Vector
Machine with
a linear kernel."
p,Classification of text documents using sparse features
p,This method has the same order of complexity as Ordinary Least Squares .
p,"RidgeCV and RidgeClassifierCV implement ridge
regression/classification with built-in cross-validation of the alpha parameter.
They work in the same way as GridSearchCV except
that it defaults to efficient Leave-One-Out cross-validation .
When using the default cross-validation , alpha cannot be 0 due to the
formulation used to calculate Leave-One-Out error. See [RL2007] for details."
p,Usage example:
p,"Specifying the value of the cv attribute will trigger the use of
cross-validation with GridSearchCV , for
example cv=10 for 10-fold cross-validation, rather than Leave-One-Out
Cross-Validation."
p,"“Notes on Regularized Least Squares”, Rifkin & Lippert ( technical report , course slides )."
p,"The Lasso is a linear model that estimates sparse coefficients, i.e., it is
able to set coefficients exactly to zero.
It is useful in some contexts due to its tendency to prefer solutions
with fewer non-zero coefficients, effectively reducing the number of
features upon which the given solution is dependent. For this reason,
Lasso and its variants are fundamental to the field of compressed sensing.
Under certain conditions, it can recover the exact set of non-zero coefficients (see Compressive sensing: tomography reconstruction with L1 prior (Lasso) )."
p,"Mathematically, it consists of a linear model with an added regularization term.
The objective function to minimize is:"
p,"The lasso estimate thus solves the least-squares with added penalty \(\alpha ||w||_1\) , where \(\alpha\) is a constant and \(||w||_1\) is the \(\ell_1\) -norm of the coefficient vector."
p,"The implementation in the class Lasso uses coordinate descent as
the algorithm to fit the coefficients. See Least Angle Regression for another implementation:"
p,"The function lasso_path is useful for lower-level tasks, as it
computes the coefficients along the full path of possible values."
p,L1-based models for Sparse Signals
p,Compressive sensing: tomography reconstruction with L1 prior (Lasso)
p,Lasso model selection: AIC-BIC / cross-validation
p,Note
p,Feature selection with Lasso
p,"As the Lasso regression yields sparse models, it can
thus be used to perform feature selection, as detailed in L1-based feature selection ."
p,"The following references explain the origin of the Lasso as well as properties
of the Lasso problem and the duality gap computation used for convergence control."
p,"Robert Tibshirani. (1996) Regression Shrinkage and Selection Via the Lasso.
J. R. Stat. Soc. Ser. B Stat. Methodol., 58(1):267-288"
p,"“An Interior-Point Method for Large-Scale L1-Regularized Least Squares,”
S. J. Kim, K. Koh, M. Lustig, S. Boyd and D. Gorinevsky,
in IEEE Journal of Selected Topics in Signal Processing, 2007
( Paper )"
p,"Coordinate descent (CD) is a strategy to solve a minimization problem that considers a
single feature \(j\) at a time. This way, the optimization problem is reduced to a
1-dimensional problem which is easier to solve:"
p,with index \(-j\) meaning all features but \(j\) . The solution is
p,"with the soft-thresholding function \(S(z, \alpha) = \operatorname{sign}(z) \max(0, |z|-\alpha)\) .
Note that the soft-thresholding function is exactly zero whenever \(\alpha \geq |z|\) .
The CD solver then loops over the features either in a cycle, picking one feature after
the other in the order given by X ( selection=""cyclic"" ), or by randomly picking
features ( selection=""random"" ).
It stops if the duality gap is smaller than the provided tolerance tol ."
p,"The duality gap \(G(w, v)\) is an upper bound of the difference between the
current primal objective function of the Lasso, \(P(w)\) , and its minimum \(P(w^\star)\) , i.e. \(G(w, v) \geq P(w) - P(w^\star)\) . It is given by \(G(w, v) = P(w) - D(v)\) with dual objective function"
p,"subject to \(v \in ||X^Tv||_{\infty} \leq n_{\text{samples}}\alpha\) .
At optimum, the duality gap is zero, \(G(w^\star, v^\star) = 0\) (a property
called strong duality).
With (scaled) dual variable \(v = c r\) , current residual \(r = y - Xw\) and
dual scaling"
p,the stopping criterion is
p,"A clever method to speedup the coordinate descent algorithm is to screen features such
that at optimum \(w_j = 0\) . Gap safe screening rules are such a
tool. Anywhere during the optimization algorithm, they can tell which feature we can
safely exclude, i.e., set to zero with certainty."
p,"The first reference explains the coordinate descent solver used in scikit-learn, the
others treat gap safe screening rules."
p,"Friedman, Hastie & Tibshirani. (2010).
Regularization Path For Generalized linear Models by Coordinate Descent.
J Stat Softw 33(1), 1-22"
p,"O. Fercoq, A. Gramfort, J. Salmon. (2015).
Mind the duality gap: safer rules for the Lasso.
Proceedings of Machine Learning Research 37:333-342, 2015."
p,"E. Ndiaye, O. Fercoq, A. Gramfort, J. Salmon. (2017).
Gap Safe Screening Rules for Sparsity Enforcing Penalties.
Journal of Machine Learning Research 18(128):1-33, 2017."
p,"The alpha parameter controls the degree of sparsity of the estimated
coefficients."
p,"scikit-learn exposes objects that set the Lasso alpha parameter by
cross-validation: LassoCV and LassoLarsCV . LassoLarsCV is based on the Least Angle Regression algorithm
explained below."
p,"For high-dimensional datasets with many collinear features, LassoCV is most often preferable. However, LassoLarsCV has
the advantage of exploring more relevant values of alpha parameter, and
if the number of samples is very small compared to the number of
features, it is often faster than LassoCV ."
p,"Alternatively, the estimator LassoLarsIC proposes to use the
Akaike information criterion (AIC) and the Bayes Information criterion (BIC).
It is a computationally cheaper alternative to find the optimal value of alpha
as the regularization path is computed only once instead of k+1 times
when using k-fold cross-validation."
p,"Indeed, these criteria are computed on the in-sample training set. In short,
they penalize the over-optimistic scores of the different Lasso models by
their flexibility (cf. to “Mathematical details” section below)."
p,"However, such criteria need a proper estimation of the degrees of freedom of
the solution, are derived for large samples (asymptotic results) and assume the
correct model is candidates under investigation. They also tend to break when
the problem is badly conditioned (e.g. more features than samples)."
p,Lasso model selection via information criteria
p,"The definition of AIC (and thus BIC) might differ in the literature. In this
section, we give more information regarding the criterion computed in
scikit-learn."
p,The AIC criterion is defined as:
p,"where \(\hat{L}\) is the maximum likelihood of the model and \(d\) is the number of parameters (as well referred to as degrees of
freedom in the previous section)."
p,The definition of BIC replaces the constant \(2\) by \(\log(N)\) :
p,where \(N\) is the number of samples.
p,"For a linear Gaussian model, the maximum log-likelihood is defined as:"
p,"where \(\sigma^2\) is an estimate of the noise variance, \(y_i\) and \(\hat{y}_i\) are respectively the true and predicted
targets, and \(n\) is the number of samples."
p,Plugging the maximum log-likelihood in the AIC formula yields:
p,"The first term of the above expression is sometimes discarded since it is a
constant when \(\sigma^2\) is provided. In addition,
it is sometimes stated that the AIC is equivalent to the \(C_p\) statistic [ 12 ] . In a strict sense, however, it is equivalent only up to some constant
and a multiplicative factor."
p,"At last, we mentioned above that \(\sigma^2\) is an estimate of the
noise variance. In LassoLarsIC when the parameter noise_variance is
not provided (default), the noise variance is estimated via the unbiased
estimator [ 13 ] defined as:"
p,"where \(p\) is the number of features and \(\hat{y}_i\) is the
predicted target using an ordinary least squares regression. Note, that this
formula is valid only when n_samples > n_features ."
p,References
p,"Zou, Hui, Trevor Hastie, and Robert Tibshirani.
“On the degrees of freedom of the lasso.”
The Annals of Statistics 35.5 (2007): 2173-2192."
p,"Cherkassky, Vladimir, and Yunqian Ma.
“Comparison of model selection for regression.”
Neural computation 15.7 (2003): 1691-1714."
p,"The equivalence between alpha and the regularization parameter of SVM, C is given by alpha = 1 / C or alpha = 1 / (n_samples * C) ,
depending on the estimator and the exact objective function optimized by the
model."
p,"The MultiTaskLasso is a linear model that estimates sparse
coefficients for multiple regression problems jointly: y is a 2D array,
of shape (n_samples, n_tasks) . The constraint is that the selected
features are the same for all the regression problems, also called tasks."
p,"The following figure compares the location of the non-zero entries in the
coefficient matrix W obtained with a simple Lasso or a MultiTaskLasso.
The Lasso estimates yield scattered non-zeros while the non-zeros of
the MultiTaskLasso are full columns."
p,"Fitting a time-series model, imposing that any active feature be active at all times."
p,Joint feature selection with multi-task Lasso
p,"Mathematically, it consists of a linear model trained with a mixed \(\ell_1\) \(\ell_2\) -norm for regularization.
The objective function to minimize is:"
p,where \(\text{Fro}\) indicates the Frobenius norm
p,and \(\ell_1\) \(\ell_2\) reads
p,"The implementation in the class MultiTaskLasso uses
coordinate descent as the algorithm to fit the coefficients."
p,"ElasticNet is a linear regression model trained with both \(\ell_1\) and \(\ell_2\) -norm regularization of the coefficients.
This combination  allows for learning a sparse model where few of
the weights are non-zero like Lasso , while still maintaining
the regularization properties of Ridge . We control the convex
combination of \(\ell_1\) and \(\ell_2\) using the l1_ratio parameter."
p,"Elastic-net is useful when there are multiple features that are
correlated with one another. Lasso is likely to pick one of these
at random, while elastic-net is likely to pick both."
p,"A practical advantage of trading-off between Lasso and Ridge is that it
allows Elastic-Net to inherit some of Ridge’s stability under rotation."
p,The objective function to minimize is in this case
p,The class ElasticNetCV can be used to set the parameters alpha ( \(\alpha\) ) and l1_ratio ( \(\rho\) ) by cross-validation.
p,"Lasso, Lasso-LARS, and Elastic Net paths"
p,Fitting an Elastic Net with a precomputed Gram Matrix and Weighted Samples
p,"The following two references explain the iterations
used in the coordinate descent solver of scikit-learn, as well as
the duality gap computation used for convergence control."
p,"“Regularization Path For Generalized linear Models by Coordinate Descent”,
Friedman, Hastie & Tibshirani, J Stat Softw, 2010 ( Paper )."
p,"The MultiTaskElasticNet is an elastic-net model that estimates sparse
coefficients for multiple regression problems jointly: Y is a 2D array
of shape (n_samples, n_tasks) . The constraint is that the selected
features are the same for all the regression problems, also called tasks."
p,"Mathematically, it consists of a linear model trained with a mixed \(\ell_1\) \(\ell_2\) -norm and \(\ell_2\) -norm for regularization.
The objective function to minimize is:"
p,"The implementation in the class MultiTaskElasticNet uses coordinate descent as
the algorithm to fit the coefficients."
p,The class MultiTaskElasticNetCV can be used to set the parameters alpha ( \(\alpha\) ) and l1_ratio ( \(\rho\) ) by cross-validation.
p,"Least-angle regression (LARS) is a regression algorithm for
high-dimensional data, developed by Bradley Efron, Trevor Hastie, Iain
Johnstone and Robert Tibshirani. LARS is similar to forward stepwise
regression. At each step, it finds the feature most correlated with the
target. When there are multiple features having equal correlation, instead
of continuing along the same feature, it proceeds in a direction equiangular
between the features."
p,The advantages of LARS are:
p,"It is numerically efficient in contexts where the number of features
is significantly greater than the number of samples."
p,"It is computationally just as fast as forward selection and has
the same order of complexity as ordinary least squares."
p,"It produces a full piecewise linear solution path, which is
useful in cross-validation or similar attempts to tune the model."
p,"If two features are almost equally correlated with the target,
then their coefficients should increase at approximately the same
rate. The algorithm thus behaves as intuition would expect, and
also is more stable."
p,"It is easily modified to produce solutions for other estimators,
like the Lasso."
p,The disadvantages of the LARS method include:
p,"Because LARS is based upon an iterative refitting of the
residuals, it would appear to be especially sensitive to the
effects of noise. This problem is discussed in detail by Weisberg
in the discussion section of the Efron et al. (2004) Annals of
Statistics article."
p,"The LARS model can be used via the estimator Lars , or its
low-level implementation lars_path or lars_path_gram ."
p,"LassoLars is a lasso model implemented using the LARS
algorithm, and unlike the implementation based on coordinate descent,
this yields the exact solution, which is piecewise linear as a
function of the norm of its coefficients."
p,"The LARS algorithm provides the full path of the coefficients along
the regularization parameter almost for free, thus a common operation
is to retrieve the path with one of the functions lars_path or lars_path_gram ."
p,"The algorithm is similar to forward stepwise regression, but instead
of including features at each step, the estimated coefficients are
increased in a direction equiangular to each one’s correlations with
the residual."
p,"Instead of giving a vector result, the LARS solution consists of a
curve denoting the solution for each value of the \(\ell_1\) norm of the
parameter vector. The full coefficients path is stored in the array coef_path_ of shape (n_features, max_features + 1) . The first
column is always zero."
p,Original Algorithm is detailed in the paper Least Angle Regression by Hastie et al.
p,"OrthogonalMatchingPursuit and orthogonal_mp implement the OMP
algorithm for approximating the fit of a linear model with constraints imposed
on the number of non-zero coefficients (i.e. the \(\ell_0\) pseudo-norm)."
p,"Being a forward feature selection method like Least Angle Regression ,
orthogonal matching pursuit can approximate the optimum solution vector with a
fixed number of non-zero elements:"
p,"Alternatively, orthogonal matching pursuit can target a specific error instead
of a specific number of non-zero coefficients. This can be expressed as:"
p,"OMP is based on a greedy algorithm that includes at each step the atom most
highly correlated with the current residual. It is similar to the simpler
matching pursuit (MP) method, but better in that at each iteration, the
residual is recomputed using an orthogonal projection on the space of the
previously chosen dictionary elements."
p,Orthogonal Matching Pursuit
p,https://www.cs.technion.ac.il/~ronrubin/Publications/KSVD-OMP-v2.pdf
p,"Matching pursuits with time-frequency dictionaries ,
S. G. Mallat, Z. Zhang, 1993."
p,"Bayesian regression techniques can be used to include regularization
parameters in the estimation procedure: the regularization parameter is
not set in a hard sense but tuned to the data at hand."
p,"This can be done by introducing uninformative priors over the hyper parameters of the model.
The \(\ell_{2}\) regularization used in Ridge regression and classification is
equivalent to finding a maximum a posteriori estimation under a Gaussian prior
over the coefficients \(w\) with precision \(\lambda^{-1}\) .
Instead of setting lambda manually, it is possible to treat it as a random
variable to be estimated from the data."
p,"To obtain a fully probabilistic model, the output \(y\) is assumed
to be Gaussian distributed around \(X w\) :"
p,"where \(\alpha\) is again treated as a random variable that is to be
estimated from the data."
p,The advantages of Bayesian Regression are:
p,It adapts to the data at hand.
p,"It can be used to include regularization parameters in the
estimation procedure."
p,The disadvantages of Bayesian regression include:
p,Inference of the model can be time consuming.
p,"A good introduction to Bayesian methods is given in C. Bishop: Pattern
Recognition and Machine Learning ."
p,"Original Algorithm is detailed in the book Bayesian learning for neural
networks by Radford M. Neal."
p,"BayesianRidge estimates a probabilistic model of the
regression problem as described above.
The prior for the coefficient \(w\) is given by a spherical Gaussian:"
p,"The priors over \(\alpha\) and \(\lambda\) are chosen to be gamma
distributions , the
conjugate prior for the precision of the Gaussian. The resulting model is
called Bayesian Ridge Regression , and is similar to the classical Ridge ."
p,"The parameters \(w\) , \(\alpha\) and \(\lambda\) are estimated
jointly during the fit of the model, the regularization parameters \(\alpha\) and \(\lambda\) being estimated by maximizing the log marginal likelihood . The scikit-learn implementation
is based on the algorithm described in Appendix A of (Tipping, 2001)
where the update of the parameters \(\alpha\) and \(\lambda\) is done
as suggested in (MacKay, 1992). The initial value of the maximization procedure
can be set with the hyperparameters alpha_init and lambda_init ."
p,"There are four more hyperparameters, \(\alpha_1\) , \(\alpha_2\) , \(\lambda_1\) and \(\lambda_2\) of the gamma prior distributions over \(\alpha\) and \(\lambda\) . These are usually chosen to be non-informative . By default \(\alpha_1 = \alpha_2 =  \lambda_1 = \lambda_2 = 10^{-6}\) ."
p,Bayesian Ridge Regression is used for regression:
p,"After being fitted, the model can then be used to predict new values:"
p,The coefficients \(w\) of the model can be accessed:
p,"Due to the Bayesian framework, the weights found are slightly different from the
ones found by Ordinary Least Squares . However, Bayesian Ridge Regression
is more robust to ill-posed problems."
p,Curve Fitting with Bayesian Ridge Regression
p,"Section 3.3 in Christopher M. Bishop: Pattern Recognition and Machine Learning, 2006"
p,"David J. C. MacKay, Bayesian Interpolation , 1992."
p,"Michael E. Tipping, Sparse Bayesian Learning and the Relevance Vector Machine , 2001."
p,"The Automatic Relevance Determination (as being implemented in ARDRegression ) is a kind of linear model which is very similar to the Bayesian Ridge Regression , but that leads to sparser coefficients \(w\) [ 1 ] [ 2 ] ."
p,"ARDRegression poses a different prior over \(w\) : it drops
the spherical Gaussian distribution for a centered elliptic Gaussian
distribution. This means each coefficient \(w_{i}\) can itself be drawn from
a Gaussian distribution, centered on zero and with a precision \(\lambda_{i}\) :"
p,"with \(A\) being a positive definite diagonal matrix and \(\text{diag}(A) = \lambda = \{\lambda_{1},...,\lambda_{p}\}\) ."
p,"In contrast to the Bayesian Ridge Regression , each coordinate of \(w_{i}\) has its own standard deviation \(\frac{1}{\lambda_i}\) . The
prior over all \(\lambda_i\) is chosen to be the same gamma distribution
given by the hyperparameters \(\lambda_1\) and \(\lambda_2\) ."
p,"ARD is also known in the literature as Sparse Bayesian Learning and Relevance
Vector Machine [ 3 ] [ 4 ] ."
p,See Comparing Linear Bayesian Regressors for a worked-out comparison between ARD and Bayesian Ridge Regression .
p,"See L1-based models for Sparse Signals for a comparison between various methods - Lasso, ARD and ElasticNet - on correlated data."
p,"Christopher M. Bishop: Pattern Recognition and Machine Learning, Chapter 7.2.1"
p,David Wipf and Srikantan Nagarajan: A New View of Automatic Relevance Determination
p,Michael E. Tipping: Sparse Bayesian Learning and the Relevance Vector Machine
p,Tristan Fletcher: Relevance Vector Machines Explained
p,"The logistic regression is implemented in LogisticRegression . Despite
its name, it is implemented as a linear model for classification rather than
regression in terms of the scikit-learn/ML nomenclature. The logistic
regression is also known in the literature as logit regression,
maximum-entropy classification (MaxEnt) or the log-linear classifier. In this
model, the probabilities describing the possible outcomes of a single trial
are modeled using a logistic function ."
p,"This implementation can fit binary, One-vs-Rest, or multinomial logistic
regression with optional \(\ell_1\) , \(\ell_2\) or Elastic-Net
regularization."
p,Regularization
p,"Regularization is applied by default, which is common in machine
learning but not in statistics. Another advantage of regularization is
that it improves numerical stability. No regularization amounts to
setting C to a very high value."
p,Logistic Regression as a special case of the Generalized Linear Models (GLM)
p,"Logistic regression is a special case of Generalized Linear Models with a Binomial / Bernoulli conditional
distribution and a Logit link. The numerical output of the logistic
regression, which is the predicted probability, can be used as a classifier
by applying a threshold (by default 0.5) to it. This is how it is
implemented in scikit-learn, so it expects a categorical target, making
the Logistic Regression a classifier."
p,L1 Penalty and Sparsity in Logistic Regression
p,Regularization path of L1- Logistic Regression
p,Decision Boundaries of Multinomial and One-vs-Rest Logistic Regression
p,Multiclass sparse logistic regression on 20newgroups
p,MNIST classification using multinomial logistic + L1
p,Plot classification probability
p,"For notational ease, we assume that the target \(y_i\) takes values in the
set \(\{0, 1\}\) for data point \(i\) .
Once fitted, the predict_proba method of LogisticRegression predicts
the probability of the positive class \(P(y_i=1|X_i)\) as"
p,"As an optimization problem, binary
class logistic regression with regularization term \(r(w)\) minimizes the
following cost function:"
p,"where \({s_i}\) corresponds to the weights assigned by the user to a
specific training sample (the vector \(s\) is formed by element-wise
multiplication of the class weights and sample weights),
and the sum \(S = \sum_{i=1}^n s_i\) ."
p,We currently provide four choices for the regularization or penalty term \(r(w)\) via the arguments C and l1_ratio :
p,penalty
p,\(r(w)\)
p,none ( C=np.inf )
p,\(0\)
p,\(\ell_1\) ( l1_ratio=1 )
p,\(\|w\|_1\)
p,\(\ell_2\) ( l1_ratio=0 )
p,\(\frac{1}{2}\|w\|_2^2 = \frac{1}{2}w^T w\)
p,ElasticNet ( 0<l1_ratio<1 )
p,\(\frac{1 - \rho}{2}w^T w + \rho \|w\|_1\)
p,"For ElasticNet, \(\rho\) (which corresponds to the l1_ratio parameter)
controls the strength of \(\ell_1\) regularization vs. \(\ell_2\) regularization. Elastic-Net is equivalent to \(\ell_1\) when \(\rho = 1\) and equivalent to \(\ell_2\) when \(\rho=0\) ."
p,"Note that the scale of the class weights and the sample weights will influence
the optimization problem. For instance, multiplying the sample weights by a
constant \(b>0\) is equivalent to multiplying the (inverse) regularization
strength C by \(b\) ."
p,"The binary case can be extended to \(K\) classes leading to the multinomial
logistic regression, see also log-linear model ."
p,"It is possible to parameterize a \(K\) -class classification model
using only \(K-1\) weight vectors, leaving one class probability fully
determined by the other class probabilities by leveraging the fact that all
class probabilities must sum to one. We deliberately choose to overparameterize the model
using \(K\) weight vectors for ease of implementation and to preserve the
symmetrical inductive bias regarding ordering of classes, see [ 16 ] . This effect becomes
especially important when using regularization. The choice of overparameterization can be
detrimental for unpenalized models since then the solution may not be unique, as shown in [ 16 ] ."
p,"Let \(y_i \in \{1, \ldots, K\}\) be the label (ordinal) encoded target variable for observation \(i\) .
Instead of a single coefficient vector, we now have
a matrix of coefficients \(W\) where each row vector \(W_k\) corresponds to class \(k\) . We aim at predicting the class probabilities \(P(y_i=k|X_i)\) via predict_proba as:"
p,The objective for the optimization becomes
p,"where \([P]\) represents the Iverson bracket which evaluates to \(0\) if \(P\) is false, otherwise it evaluates to \(1\) ."
p,"Again, \(s_{ik}\) are the weights assigned by the user (multiplication of sample
weights and class weights) with their sum \(S = \sum_{i=1}^n \sum_{k=0}^{K-1} s_{ik}\) ."
p,"We currently provide four choices for the regularization or penalty term \(r(W)\) via the arguments C and l1_ratio , where \(m\) is the number of features:"
p,\(r(W)\)
p,"\(\|W\|_{1,1} = \sum_{i=1}^m\sum_{j=1}^{K}|W_{i,j}|\)"
p,"\(\frac{1}{2}\|W\|_F^2 = \frac{1}{2}\sum_{i=1}^m\sum_{j=1}^{K} W_{i,j}^2\)"
p,"\(\frac{1 - \rho}{2}\|W\|_F^2 + \rho \|W\|_{1,1}\)"
p,"The solvers implemented in the class LogisticRegression are “lbfgs”, “liblinear”, “newton-cg”, “newton-cholesky”, “sag” and “saga”:"
p,The following table summarizes the penalties and multinomial multiclass supported by each solver:
p,Solvers
p,Penalties
p,‘liblinear’
p,‘newton-cg’
p,‘newton-cholesky’
p,‘sag’
p,‘saga’
p,L2 penalty
p,yes
p,L1 penalty
p,no
p,Elastic-Net (L1 + L2)
p,No penalty
p,Multiclass support
p,multinomial multiclass
p,Behaviors
p,Penalize the intercept (bad)
p,Faster for large datasets
p,Robust to unscaled datasets
p,"The “lbfgs” solver is used by default for its robustness. For n_samples >> n_features , “newton-cholesky” is a good choice and can reach high
precision (tiny tol values). For large datasets
the “saga” solver is usually faster (than “lbfgs”), in particular for low precision
(high tol ).
For large dataset, you may also consider using SGDClassifier with loss=""log_loss"" , which might be even faster but requires more tuning."
p,"There might be a difference in the scores obtained between LogisticRegression with solver=liblinear or LinearSVC and the external liblinear library directly,
when fit_intercept=False and the fit coef_ (or) the data to be predicted
are zeroes. This is because for the sample(s) with decision_function zero, LogisticRegression and LinearSVC predict the
negative class, while liblinear predicts the positive class. Note that a model
with fit_intercept=False and having many samples with decision_function zero, is likely to be an underfit, bad model and you are advised to set fit_intercept=True and increase the intercept_scaling ."
p,"The solver “liblinear” uses a coordinate descent (CD) algorithm, and relies
on the excellent C++ LIBLINEAR library , which is shipped with
scikit-learn. However, the CD algorithm implemented in liblinear cannot learn a
true multinomial (multiclass) model. If you still want to use “liblinear” on
multiclass problems, you can use a “one-vs-rest” scheme OneVsRestClassifier(LogisticRegression(solver=""liblinear"")) , see :class:`~sklearn.multiclass.OneVsRestClassifier . Note that minimizing the
multinomial loss is expected to give better calibrated results as compared to
a “one-vs-rest” scheme.
For \(\ell_1\) regularization sklearn.svm.l1_min_c allows to
calculate the lower bound for C in order to get a non “null” (all feature
weights to zero) model."
p,"The “lbfgs”, “newton-cg”, “newton-cholesky” and “sag” solvers only support \(\ell_2\) regularization or no regularization, and are found to converge
faster for some high-dimensional data. These solvers (and “saga”)
learn a true multinomial logistic regression model [ 5 ] ."
p,"The “sag” solver uses Stochastic Average Gradient descent [ 6 ] . It is faster
than other solvers for large datasets, when both the number of samples and the
number of features are large."
p,"The “saga” solver [ 7 ] is a variant of “sag” that also supports the non-smooth \(\ell_1\) penalty ( l1_ratio=1 ). This is therefore the solver of choice for
sparse multinomial logistic regression. It is also the only solver that supports
Elastic-Net ( 0 < l1_ratio < 1 )."
